,Entry,PLOT,Check,Full_sample,Sample_ID,replication,Day1Germ,Day2Germ,Day3Germ,Day4Germ,Day5Germ,kernels_remaining,Mold_kern,Cooler,note,Year,Location,Timepoint,PM_at_plating,Experiment
225,BS712-73,11166,B,Half,113,1,0,5,4,10,3,8,,,,2020,Snyder,2,19,Winter DH Germination
226,BS712-73,11166,B,Half,113,2,0,6,4,9,5,7,,,,2020,Snyder,2,19,Winter DH Germination
227,BS712-74,11167,B,Full,114,1,8,18,3,0,0,1,,,,2020,Snyder,2,19,Winter DH Germination
228,BS712-74,11167,B,Full,114,2,10,18,1,0,0,1,,,,2020,Snyder,2,19,Winter DH Germination
229,BS713-75,11168,B,Full,115,1,0,4,9,5,7,5,,,,2020,Snyder,2,19,Winter DH Germination
230,BS713-75,11168,B,Full,115,2,0,5,6,4,7,8,,,,2020,Snyder,2,19,Winter DH Germination
231,BS713-78,11171,B,Full,116,1,4,23,1,0,0,2,,,,2020,Snyder,2,19,Winter DH Germination
232,BS713-78,11171,B,Full,116,2,8,18,1,3,1,0,,,,2020,Snyder,2,19,Winter DH Germination
233,BS713-79,11172,B,Half,117,1,0,1,2,14,9,4,,,,2020,Snyder,2,19,Winter DH Germination
234,BS713-79,11172,B,Half,117,2,0,0,7,10,4,10,,,,2020,Snyder,2,19,Winter DH Germination
235,BS713-80,11173,B,Half,118,1,0,13,11,4,1,1,,,,2020,Snyder,2,19,Winter DH Germination
